Test,Code,block size,Max CPU Time,Min CPU Time,Avg CPU Time
circle,omp-original,2,1465.552922,1411.913164,1438.73
circle,omp-original,4,1304.374255,1304.374255,1304.37
circle,omp-original,8,1218.758330,1218.758330,1218.76
circle,omp-original,16,1458.032370,1458.032370,1458.03
circle,omp-original,32,1465.552922,1465.552922,1465.55
coins,omp-original,2,202.009242,170.869939,186.44
coins,omp-original,4,209.407054,209.407054,209.407
coins,omp-original,8,197.874438,197.874438,197.874
coins,omp-original,16,189.614713,189.614713,189.615
coins,omp-original,32,202.009242,202.009242,202.009
fractal,omp-original,2,20389.856458,20008.605503,20199.2
fractal,omp-original,4,20015.509587,20015.509587,20015.5
fractal,omp-original,8,20382.815931,20382.815931,20382.8
fractal,omp-original,16,20199.918211,20199.918211,20199.9
fractal,omp-original,32,20389.856458,20389.856458,20389.9
synthetic,omp-original,2,750.008024,725.218225,737.613
synthetic,omp-original,4,717.495244,717.495244,717.495
synthetic,omp-original,8,679.109938,679.109938,679.11
synthetic,omp-original,16,538.752694,538.752694,538.753
synthetic,omp-original,32,750.008024,750.008024,750.008
tree,omp-original,2,8843.862869,8801.193196,8822.53
tree,omp-original,4,9091.516126,9091.516126,9091.52
tree,omp-original,8,9060.396142,9060.396142,9060.4
tree,omp-original,16,8999.427553,8999.427553,8999.43
tree,omp-original,32,8801.193196,8801.193196,8801.19
