Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
corr-lss-nupar,cuda-basic,2,2741.64,2741.64,2741.64,2999.4,2805.93,2902.66
corr-lss-nupar,cuda-basic,4,2738.61,2738.61,2738.61,2798.37,2798.37,2798.37
corr-lss-nupar,cuda-basic,8,2737.97,2737.97,2737.97,2795.54,2795.54,2795.54
corr-lss-nupar,cuda-basic,16,2736.27,2736.27,2736.27,2835.9,2835.9,2835.9
corr-lss-nupar,cuda-basic,32,2739.04,2739.04,2739.04,2805.93,2805.93,2805.93
corr-lss-nupar,cuda-basic,2,18.689,18.689,18.689,22.1436,21.3903,21.767
corr-lss-nupar,cuda-basic,4,17.0461,17.0461,17.0461,20.2667,20.2667,20.2667
corr-lss-nupar,cuda-basic,8,17.301,17.301,17.301,21.4668,21.4668,21.4668
corr-lss-nupar,cuda-basic,16,18.3426,18.3426,18.3426,22.7006,22.7006,22.7006
corr-lss-nupar,cuda-basic,32,17.7349,17.7349,17.7349,21.3903,21.3903,21.3903
corr-lss-nupar,cuda-basic,2,1194.53,1194.53,1194.53,1218.2,1202.07,1210.13
corr-lss-nupar,cuda-basic,4,1186.58,1186.58,1186.58,1210.51,1210.51,1210.51
corr-lss-nupar,cuda-basic,8,1200.34,1200.34,1200.34,1222.92,1222.92,1222.92
corr-lss-nupar,cuda-basic,16,1191.47,1191.47,1191.47,1215.21,1215.21,1215.21
corr-lss-nupar,cuda-basic,32,1187,1187,1187,1202.07,1202.07,1202.07
corr-lss-nupar,cuda-basic,2,21096.2,21096.2,21096.2,21303.5,21126.2,21214.8
corr-lss-nupar,cuda-basic,4,21075.6,21075.6,21075.6,21102.6,21102.6,21102.6
corr-lss-nupar,cuda-basic,8,21130.1,21130.1,21130.1,21171.7,21171.7,21171.7
corr-lss-nupar,cuda-basic,16,21117.3,21117.3,21117.3,21157,21157,21157
corr-lss-nupar,cuda-basic,32,21084.8,21084.8,21084.8,21126.2,21126.2,21126.2
corr-lss-nupar,cuda-basic,2,325.367,325.367,325.367,373.467,338.368,355.918
corr-lss-nupar,cuda-basic,4,366.861,366.861,366.861,379.1,379.1,379.1
corr-lss-nupar,cuda-basic,8,364.166,364.166,364.166,376.844,376.844,376.844
corr-lss-nupar,cuda-basic,16,362.441,362.441,362.441,375.217,375.217,375.217
corr-lss-nupar,cuda-basic,32,361.66,361.66,361.66,373.467,373.467,373.467
