Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
corr-lss-opt,cuda-opt,2,1132.390259,1132.390259,1132.39,1151.296753,34.802048,593.049
corr-lss-opt,cuda-opt,4,171.721344,171.721344,171.721,190.584793,190.584793,190.585
corr-lss-opt,cuda-opt,8,27.963009,27.963009,27.963,65.474365,65.474365,65.4744
corr-lss-opt,cuda-opt,16,13.363936,13.363936,13.3639,32.316673,32.316673,32.3167
corr-lss-opt,cuda-opt,32,15.041472,15.041472,15.0415,34.802048,34.802048,34.802
corr-lss-opt,cuda-opt,2,9.571424,9.571424,9.57142,12.779904,4.772160,8.77603
corr-lss-opt,cuda-opt,4,2.588352,2.588352,2.58835,6.325120,6.325120,6.32512
corr-lss-opt,cuda-opt,8,1.335968,1.335968,1.33597,4.937024,4.937024,4.93702
corr-lss-opt,cuda-opt,16,1.248736,1.248736,1.24874,4.689056,4.689056,4.68906
corr-lss-opt,cuda-opt,32,1.297792,1.297792,1.29779,4.772160,4.772160,4.77216
corr-lss-opt,cuda-opt,2,858.518738,858.518738,858.519,869.636475,27.071199,448.354
corr-lss-opt,cuda-opt,4,158.133881,158.133881,158.134,162.503555,162.503555,162.504
corr-lss-opt,cuda-opt,8,39.894783,39.894783,39.8948,49.807648,49.807648,49.8076
corr-lss-opt,cuda-opt,16,23.930784,23.930784,23.9308,32.060223,32.060223,32.0602
corr-lss-opt,cuda-opt,32,22.689505,22.689505,22.6895,27.071199,27.071199,27.0712
corr-lss-opt,cuda-opt,2,859.964722,859.964722,859.965,879.206848,27.653185,453.43
corr-lss-opt,cuda-opt,4,147.354782,147.354782,147.355,160.514084,160.514084,160.514
corr-lss-opt,cuda-opt,8,25.152512,25.152512,25.1525,38.281246,38.281246,38.2812
corr-lss-opt,cuda-opt,16,12.188576,12.188576,12.1886,42.508961,42.508961,42.509
corr-lss-opt,cuda-opt,32,14.430880,14.430880,14.4309,27.653185,27.653185,27.6532
corr-lss-opt,cuda-opt,2,247.831421,247.831421,247.831,251.156189,15.311584,133.234
corr-lss-opt,cuda-opt,4,50.954018,50.954018,50.954,55.838081,55.838081,55.8381
corr-lss-opt,cuda-opt,8,14.340448,14.340448,14.3404,20.781183,20.781183,20.7812
corr-lss-opt,cuda-opt,16,10.873472,10.873472,10.8735,17.068224,17.068224,17.0682
corr-lss-opt,cuda-opt,32,12.143328,12.143328,12.1433,15.311584,15.311584,15.3116
