Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle-in,cuda-opt,01.log,,,,,,
circle-in,cuda-opt,08.log,,,,,,
circle-in,cuda-opt,16.log,,,,,,
circle-in,cuda-opt,25.log,,,,,,
circle-out,cuda-opt,01.log,,,,,,
circle-out,cuda-opt,15.log,,,,,,
circle-out,cuda-opt,30.log,,,,,,
circle-out,cuda-opt,40.log,,,,,,
coins,cuda-opt,1.log,,,,,,
coins,cuda-opt,2.log,,,,,,
coins,cuda-opt,3.log,,,,,,
coins,cuda-opt,4.log,,,,,,
fractal,cuda-opt,01.log,,,,,,
fractal,cuda-opt,20.log,,,,,,
fractal,cuda-opt,40.log,,,,,,
fractal,cuda-opt,60.log,,,,,,
synthetic,cuda-opt,01.log,,,,,,
synthetic,cuda-opt,04.log,,,,,,
synthetic,cuda-opt,08.log,,,,,,
synthetic,cuda-opt,13.log,,,,,,
tree,cuda-opt,01.log,,,,,,
tree,cuda-opt,12.log,,,,,,
tree,cuda-opt,24.log,,,,,,
tree,cuda-opt,36.log,,,,,,
