Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
Circle,cuda-basic,2,7755.230957,7734.852051,7743.42,7866.205566,110.644127,3991.95
Circle,cuda-basic,4,1020.209595,1015.533875,1017.86,1143.104004,1089.037476,1112.34
Circle,cuda-basic,8,151.372391,151.018463,151.183,301.117249,223.423111,254.901
Circle,cuda-basic,16,49.09808,48.708416,48.8729,199.008347,121.057953,143.833
Circle,cuda-basic,32,38.400543,38.18557,38.2644,188.205688,110.644127,155.225
Circle,cuda-basic-4,2,1132.664795,1128.47522,1130.81,1165.662231,34.870975,604.464
Circle,cuda-basic-4,4,173.641022,172.752228,173.084,214.60083,192.827591,202.002
Circle,cuda-basic-4,8,29.483776,29.122881,29.2919,70.412704,49.137215,60.248
Circle,cuda-basic-4,16,14.25664,13.960768,14.1086,55.365921,33.908543,46.8779
Circle,cuda-basic-4,32,14.975008,14.734688,14.881,56.194656,34.870975,47.9851
Circle,cuda-opt,2,1136.817261,1132.273193,1134.34,1169.906128,34.714367,599.66
Circle,cuda-opt,4,172.66925,171.643814,172.101,213.738663,191.666183,204.194
Circle,cuda-opt,8,28.268608,27.870464,28.0485,69.2136,47.945953,58.8755
Circle,cuda-opt,16,13.68672,13.391488,13.5562,55.056801,33.405312,47.6884
Circle,cuda-opt,32,15.27232,15.042272,15.1619,56.344833,34.714367,42.4731
Circle,cuda-opt-dp-bf,2,1137.158203,1132.526001,1135.01,1170.258911,34.882145,605.891
Circle,cuda-opt-dp-bf,4,171.867035,171.581177,171.737,207.767395,191.82637,198.133
Circle,cuda-opt-dp-bf,8,28.299456,27.852192,28.0663,69.297981,47.875458,60.6743
Circle,cuda-opt-dp-bf,16,13.695552,13.411008,13.5441,54.901215,33.403584,45.3108
Circle,cuda-opt-dp-bf,32,15.307936,15.082272,15.1795,56.333279,34.882145,47.867
Circle,cuda-opt-nodp,2,1132.911743,1127.491333,1130.54,1165.810303,33.927681,596.071
Circle,cuda-opt-nodp,4,170.811386,168.631577,169.457,211.150375,188.672409,196.675
Circle,cuda-opt-nodp,8,26.724001,26.04512,26.3384,67.715714,46.185921,52.6604
Circle,cuda-opt-nodp,16,12.32288,11.867776,12.0131,48.427872,31.981537,35.1101
Circle,cuda-opt-nodp,32,14.193056,13.770944,13.9254,50.354847,33.927681,37.788
Coins,cuda-basic,2,45.361118,45.042015,45.1668,52.889889,5.016224,28.9597
Coins,cuda-basic,4,8.398144,8.275168,8.32373,15.853408,11.537664,13.2362
Coins,cuda-basic,8,2.081728,2.027072,2.05991,9.709536,5.35472,7.15876
Coins,cuda-basic,16,1.371488,1.315296,1.3397,9.096896,4.685984,6.48191
Coins,cuda-basic,32,1.601728,1.528064,1.56417,9.535936,5.016224,6.78544
Coins,cuda-basic-4,2,9.553696,9.451296,9.49253,12.920224,3.059008,7.85067
Coins,cuda-basic-4,4,2.679424,2.61888,2.6584,6.475168,4.577504,6.14738
Coins,cuda-basic-4,8,1.444352,1.367552,1.40932,5.549312,3.35168,4.32797
Coins,cuda-basic-4,16,1.31952,1.257184,1.28871,5.257984,3.506048,4.95194
Coins,cuda-basic-4,32,1.311264,1.257376,1.2866,5.074784,3.059008,3.79847
Coins,cuda-opt,2,9.645824,9.533536,9.59134,13.109632,3.085152,8.14756
Coins,cuda-opt,4,2.604192,2.538848,2.5665,6.384608,4.467968,5.33148
Coins,cuda-opt,8,1.376384,1.32416,1.34899,5.166272,3.288448,4.68142
Coins,cuda-opt,16,1.262688,1.213248,1.24012,5.306112,3.224576,4.04144
Coins,cuda-opt,32,1.353792,1.252832,1.2896,4.818336,3.085152,3.91101
Coins,cuda-opt-dp-bf,2,9.348064,9.036704,9.17985,12.950144,2.923744,8.02781
Coins,cuda-opt-dp-bf,4,2.502432,2.287488,2.38753,6.259648,4.278048,5.27761
Coins,cuda-opt-dp-bf,8,1.606144,1.28544,1.40996,5.50096,3.282752,4.05486
Coins,cuda-opt-dp-bf,16,2.03424,1.384608,1.65128,5.91088,3.556128,4.85624
Coins,cuda-opt-dp-bf,32,1.596128,1.103744,1.3361,5.102848,2.923744,4.27317
Coins,cuda-opt-nodp,2,12.661376,11.284416,11.752,16.129215,4.879648,10.0238
Coins,cuda-opt-nodp,4,5.582656,4.599584,5.17803,9.443296,6.582176,8.37012
Coins,cuda-opt-nodp,8,4.227808,3.306368,3.94925,8.132448,5.332224,7.30648
Coins,cuda-opt-nodp,16,3.91088,3.063392,3.37725,7.863456,5.11392,6.1974
Coins,cuda-opt-nodp,32,3.756224,3.02032,3.35121,7.363424,4.879648,5.94078
Fractal,cuda-basic,2,4921.266113,4912.516113,4916.98,4941.927246,54.795586,2498.38
Fractal,cuda-basic,4,807.039307,804.873474,805.813,831.588135,818.207825,823.214
Fractal,cuda-basic,8,136.800354,135.597443,136.248,164.645248,148.652924,159.248
Fractal,cuda-basic,16,52.712769,51.798241,52.1148,80.510658,65.049278,69.5181
