Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
perf-lss-nopde,omp-original,2,,,,,,
perf-lss-nopde,omp-original,4,,,,,,
perf-lss-nopde,omp-original,8,,,,,,
perf-lss-nopde,omp-original,16,,,,,,
perf-lss-nopde,omp-original,32,,,,,,
perf-lss-nopde,omp-original,2,,,,,,
perf-lss-nopde,omp-original,4,,,,,,
perf-lss-nopde,omp-original,8,,,,,,
perf-lss-nopde,omp-original,16,,,,,,
perf-lss-nopde,omp-original,32,,,,,,
perf-lss-nopde,omp-original,2,,,,,,
perf-lss-nopde,omp-original,4,,,,,,
perf-lss-nopde,omp-original,8,,,,,,
perf-lss-nopde,omp-original,16,,,,,,
perf-lss-nopde,omp-original,32,,,,,,
perf-lss-nopde,omp-original,2,,,,,,
perf-lss-nopde,omp-original,4,,,,,,
perf-lss-nopde,omp-original,8,,,,,,
perf-lss-nopde,omp-original,16,,,,,,
perf-lss-nopde,omp-original,32,,,,,,
perf-lss-nopde,omp-original,2,,,,,,
perf-lss-nopde,omp-original,4,,,,,,
perf-lss-nopde,omp-original,8,,,,,,
perf-lss-nopde,omp-original,16,,,,,,
perf-lss-nopde,omp-original,32,,,,,,
