Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
perf-lss-nupar,cuda-basic,2,2740.95,2735.67,2737.95,2986.46,2794.25,2823.39
perf-lss-nupar,cuda-basic,4,2739.67,2735.89,2737.52,2843.21,2794.28,2829.84
perf-lss-nupar,cuda-basic,8,2740.06,2736.07,2737.75,2841.43,2794.45,2822.38
perf-lss-nupar,cuda-basic,16,2740.73,2735.78,2737.86,2843.17,2794.47,2824.18
perf-lss-nupar,cuda-basic,32,2741.15,2736.2,2738.03,2842.09,2795.02,2820.52
perf-lss-nupar,cuda-basic,2,16.9091,16.0155,16.2215,21.3654,18.4363,19.1045
perf-lss-nupar,cuda-basic,4,17.6075,16.054,16.7393,23.683,18.6075,20.7078
perf-lss-nupar,cuda-basic,8,17.5073,15.9852,16.4882,21.6975,18.5022,19.705
perf-lss-nupar,cuda-basic,16,17.8047,15.9759,16.5301,22.0188,18.5252,19.8803
perf-lss-nupar,cuda-basic,32,16.8188,15.9839,16.3071,21.3654,18.4363,19.3255
perf-lss-nupar,cuda-basic,2,1188.59,1183.06,1184.62,1210.28,1198.86,1205.15
perf-lss-nupar,cuda-basic,4,1190.86,1183.97,1186.79,1213.56,1197.57,1203.54
perf-lss-nupar,cuda-basic,8,1189.47,1183.38,1186.55,1210.99,1198.29,1203.05
perf-lss-nupar,cuda-basic,16,1188.36,1182.77,1185.45,1209.45,1197.83,1202.47
perf-lss-nupar,cuda-basic,32,1189.39,1182.67,1185.94,1208.31,1198.86,1203.03
perf-lss-nupar,cuda-basic,2,2507.54,2123.49,2253.51,3041.65,2149.12,2287.82
perf-lss-nupar,cuda-basic,4,2345.18,2122.15,2195.07,2385.22,2148.89,2228
perf-lss-nupar,cuda-basic,8,2493.29,2113.66,2242.32,2521.83,2149.33,2273.84
perf-lss-nupar,cuda-basic,16,2408.36,2121.85,2203.37,2433.61,2147.55,2234.66
perf-lss-nupar,cuda-basic,32,3002.56,2122.3,2252.11,3041.65,2150.31,2285.78
perf-lss-nupar,cuda-basic,2,386.793,304.648,356.53,399.481,316.932,365.685
perf-lss-nupar,cuda-basic,4,383.823,318.248,363.783,396.317,325.12,371.746
perf-lss-nupar,cuda-basic,8,383.002,304.749,354.26,389.613,311.696,362.805
perf-lss-nupar,cuda-basic,16,387.557,325.183,362.625,399.842,333.801,371.925
perf-lss-nupar,cuda-basic,32,384.605,311.646,352.605,397.042,318.866,362.389
