Test,Code,block size,Max CPU Time,Min CPU Time,Avg CPU Time
circle,omp-basic,2,1568.405314,942.870032,1299.83
circle,omp-basic,4,1631.938959,1052.314856,1402.99
circle,omp-basic,8,1640.129503,1031.563602,1275.02
circle,omp-basic,16,1581.122886,1146.143243,1367.5
circle,omp-basic,32,1568.405314,942.870032,1278.65
fractal,omp-basic,2,935.017577,662.492601,811.525
fractal,omp-basic,4,913.903993,642.864795,823.654
fractal,omp-basic,8,985.407482,641.353515,808.825
fractal,omp-basic,16,956.593027,624.627382,841.731
fractal,omp-basic,32,898.022476,666.980447,825.855
synthetic,omp-basic,2,855.935122,635.229882,750.244
synthetic,omp-basic,4,826.536360,683.323499,743.377
synthetic,omp-basic,8,847.823248,686.462601,739.647
synthetic,omp-basic,16,816.262952,573.282461,721.284
synthetic,omp-basic,32,816.600269,695.505542,753.006
tree,omp-basic,2,337.471462,238.274247,300.415
tree,omp-basic,4,351.578572,200.387889,295.266
tree,omp-basic,8,335.290188,238.351782,303.586
tree,omp-basic,16,343.772802,227.194851,301.955
tree,omp-basic,32,335.143104,258.114440,301.56
