Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle-in-1024,cuda-basic,16,49.363583,48.775200,48.9488,199.980255,121.087296,151.734
circle-in-1024,cuda-basic-4,16,14.302432,13.947008,14.1556,55.556961,34.073666,48.1876
circle-in-1024,cuda-opt,16,13.666752,13.377376,13.4849,54.983105,33.370815,41.4861
circle-in-1024,cuda-opt-dp-bf,16,13.703968,13.334912,13.5419,55.044193,33.373280,45.7873
circle-in-1024,cuda-opt-nodp,16,12.442656,11.836448,12.1388,53.828545,32.052734,40.8805
circle-in-128,cuda-basic,16,0.852608,0.796288,0.828626,7.245088,4.177888,6.21489
circle-in-128,cuda-basic-4,16,0.907200,0.856576,0.882302,3.222560,1.991040,2.62368
circle-in-128,cuda-opt,16,0.873696,0.834976,0.850819,3.064544,1.969056,2.3112
circle-in-128,cuda-opt-dp-bf,16,0.883328,0.836480,0.85779,3.071040,1.963296,2.50509
circle-in-128,cuda-opt-nodp,16,0.889920,0.746848,0.809971,3.145984,1.924928,2.41932
circle-in-2048,cuda-basic,16,339.810974,338.194183,338.89,818.880371,619.239563,733.964
circle-in-2048,cuda-basic-4,16,69.970367,69.274849,69.6035,219.692963,142.494720,188.556
circle-in-2048,cuda-opt,16,67.432030,66.768349,66.9876,217.076263,139.257660,176.087
circle-in-2048,cuda-opt-dp-bf,16,67.435776,66.758560,67.0641,217.069275,139.029083,178.507
circle-in-2048,cuda-opt-nodp,16,64.937759,64.128960,64.5373,214.997849,136.374725,163.799
circle-in-256,cuda-basic,16,1.835968,1.792512,1.81778,15.589760,8.659200,11.8297
circle-in-256,cuda-basic-4,16,1.522688,1.479648,1.49947,8.066816,4.873376,6.46946
circle-in-256,cuda-opt,16,1.483936,1.425504,1.44664,7.989248,4.789664,6.00809
circle-in-256,cuda-opt-dp-bf,16,1.497408,1.432576,1.45968,7.835840,4.828768,6.55613
circle-in-256,cuda-opt-nodp,16,1.508960,1.315456,1.43394,7.989344,4.755168,6.79347
circle-in-4096,cuda-basic,16,2417.413330,2409.219727,2412.41,4161.199219,3525.406494,3771.88
circle-in-4096,cuda-basic-4,16,444.545410,443.055450,443.502,972.397034,728.677429,812.915
circle-in-4096,cuda-opt,16,433.815460,432.572174,433.016,969.912048,718.875122,794.757
circle-in-4096,cuda-opt-dp-bf,16,433.737030,432.705963,433.213,910.390076,715.489563,766.424
circle-in-4096,cuda-opt-nodp,16,429.117798,427.103729,428.335,994.921997,711.340698,830.54
circle-in-512,cuda-basic,16,9.110080,8.938848,9.01955,50.252415,28.938047,43.3113
circle-in-512,cuda-basic-4,16,4.148352,3.970560,4.05714,17.918272,10.825600,14.9653
circle-in-512,cuda-opt,16,3.992384,3.817952,3.91625,17.818527,10.320704,15.5217
circle-in-512,cuda-opt-dp-bf,16,3.948192,3.811680,3.88384,17.636671,10.692320,14.2973
circle-in-512,cuda-opt-nodp,16,3.283936,3.028864,3.16969,17.223520,9.968960,13.9876
circle-out-1024,cuda-basic,16,124.412094,123.325821,123.813,274.356384,195.152313,239.428
circle-out-1024,cuda-basic-4,16,37.209503,36.648254,36.8183,78.131264,56.642975,66.0607
circle-out-1024,cuda-opt,16,37.162239,36.614655,36.8823,78.063202,56.648159,70.369
circle-out-1024,cuda-opt-dp-bf,16,37.134529,36.613026,36.7849,78.127457,56.655201,64.9642
circle-out-1024,cuda-opt-nodp,16,34.326496,33.630913,33.9519,75.320541,53.843903,58.7682
circle-out-128,cuda-basic,16,1.245504,1.193056,1.2136,7.609632,4.589088,5.89165
circle-out-128,cuda-basic-4,16,1.181376,1.115776,1.14085,3.330144,2.246656,2.65686
circle-out-128,cuda-opt,16,1.162848,1.106720,1.13636,3.339232,2.258848,2.92378
