Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
zord-brightness,cuda-basic,2,20.000160,19.933537,19.9633,50.542240,13.567136,30.1061
zord-brightness,cuda-basic,4,5.574112,5.545888,5.55859,36.172482,18.189728,23.5443
zord-brightness,cuda-basic,8,1.476352,1.451264,1.46736,32.078911,14.068128,25.5321
zord-brightness,cuda-basic,16,0.763200,0.738016,0.749098,31.434401,13.398336,20.0076
zord-brightness,cuda-basic,32,0.948768,0.919040,0.934278,31.443808,13.567136,19.6107
zord-brightness,cuda-basic-4,2,12.418304,12.371136,12.3903,43.044514,13.140640,26.0285
zord-brightness,cuda-basic-4,4,3.650944,3.621536,3.63317,34.115135,16.237791,20.2722
zord-brightness,cuda-basic-4,8,1.061984,1.034016,1.04532,31.606848,13.678304,20.7588
zord-brightness,cuda-basic-4,16,0.543360,0.517536,0.527346,26.534719,13.146944,17.6994
zord-brightness,cuda-basic-4,32,0.523904,0.498784,0.507837,31.078785,13.140640,18.596
zord-brightness,cuda-opt,2,5.800704,5.776320,5.79033,31.993984,13.028896,23.8161
zord-brightness,cuda-opt,4,1.512000,1.481056,1.49746,32.098751,14.157024,26.1496
zord-brightness,cuda-opt,8,0.459904,0.437024,0.445109,30.855488,13.088384,17.9446
zord-brightness,cuda-opt,16,0.333376,0.311136,0.325914,30.856064,12.931360,24.2944
zord-brightness,cuda-opt,32,0.432608,0.406656,0.42013,30.990240,13.028896,21.7222
zord-brightness,cuda-basic,2,0.123584,0.098432,0.10563,0.927296,0.395168,0.522935
zord-brightness,cuda-basic,4,0.079488,0.047264,0.064304,0.881120,0.404992,0.741824
zord-brightness,cuda-basic,8,0.053888,0.029472,0.0396128,0.863136,0.392448,0.56008
zord-brightness,cuda-basic,16,0.051488,0.026912,0.0402608,0.865984,0.387008,0.646757
zord-brightness,cuda-basic,32,0.052352,0.029760,0.0342256,0.839136,0.395168,0.47617
zord-brightness,cuda-basic-4,2,0.096608,0.073920,0.085064,0.898880,0.391296,0.652242
zord-brightness,cuda-basic-4,4,0.062112,0.038976,0.0484528,0.875264,0.397984,0.561872
zord-brightness,cuda-basic-4,8,0.053344,0.028832,0.0349856,0.853696,0.394496,0.481376
zord-brightness,cuda-basic-4,16,0.049472,0.026880,0.0335456,0.861120,0.388480,0.502402
zord-brightness,cuda-basic-4,32,0.050784,0.028128,0.041024,0.869632,0.391296,0.671744
zord-brightness,cuda-opt,2,0.070944,0.046912,0.0597408,0.876576,0.388672,0.567947
zord-brightness,cuda-opt,4,0.052928,0.029280,0.0377056,0.817920,0.387328,0.495872
zord-brightness,cuda-opt,8,0.049216,0.025952,0.0352944,0.845920,0.385632,0.541466
zord-brightness,cuda-opt,16,0.049344,0.025344,0.0347952,0.864960,0.392832,0.55472
zord-brightness,cuda-opt,32,0.049600,0.025408,0.0330848,0.865120,0.388672,0.509155
zord-brightness,cuda-basic,2,3.096256,3.067008,3.08364,10.072576,3.062720,6.78608
zord-brightness,cuda-basic,4,0.899424,0.871616,0.893074,7.757792,3.787136,7.38528
zord-brightness,cuda-basic,8,0.274560,0.241920,0.254312,7.109888,3.148800,4.73699
zord-brightness,cuda-basic,16,0.166848,0.136768,0.147752,7.015168,3.021632,4.80295
zord-brightness,cuda-basic,32,0.186752,0.164416,0.175766,7.164448,3.062720,5.05656
zord-brightness,cuda-basic-4,2,1.934496,1.910848,1.92008,8.082624,3.001568,5.5167
zord-brightness,cuda-basic-4,4,0.608096,0.576704,0.589384,7.440288,3.488704,5.23103
zord-brightness,cuda-basic-4,8,0.200384,0.180256,0.196165,7.111200,3.091360,6.41237
zord-brightness,cuda-basic-4,16,0.123296,0.101504,0.109072,6.938240,2.995680,4.05173
zord-brightness,cuda-basic-4,32,0.141376,0.098336,0.113533,6.979232,3.001568,5.23073
zord-brightness,cuda-opt,2,0.936288,0.907072,0.922326,7.923168,2.966560,5.11921
zord-brightness,cuda-opt,4,0.270176,0.246560,0.253427,7.127968,3.135488,3.97446
zord-brightness,cuda-opt,8,0.112736,0.087840,0.0977952,6.942656,2.990656,4.3797
zord-brightness,cuda-opt,16,0.094144,0.071040,0.0859232,6.984992,2.973760,5.38022
zord-brightness,cuda-opt,32,0.106176,0.085472,0.0936688,6.939712,2.966560,4.29849
zord-brightness,cuda-basic,2,5.028352,5.005632,5.01508,13.616928,4.215968,8.52782
zord-brightness,cuda-basic,4,1.433792,1.410464,1.42706,10.801536,5.374272,8.90203
zord-brightness,cuda-basic,8,0.406656,0.382624,0.39833,9.736928,4.318656,7.45877
zord-brightness,cuda-basic,16,0.231968,0.204352,0.218814,8.429952,4.162816,6.65472
zord-brightness,cuda-basic,32,0.274400,0.249504,0.264267,9.787296,4.215968,7.17508
zord-brightness,cuda-basic-4,2,3.141088,3.115904,3.13412,12.564000,4.104864,8.15952
zord-brightness,cuda-basic-4,4,0.949344,0.926528,0.93664,10.297280,4.885504,7.05133
zord-brightness,cuda-basic-4,8,0.301920,0.271520,0.28525,9.431296,4.241984,6.80483
zord-brightness,cuda-basic-4,16,0.180544,0.152064,0.167949,9.542144,4.124288,7.75399
zord-brightness,cuda-basic-4,32,0.168640,0.145600,0.152336,8.413824,4.104864,5.14514
zord-brightness,cuda-opt,2,1.492544,1.467968,1.4806,10.851360,4.082816,7.0559
zord-brightness,cuda-opt,4,0.424128,0.388832,0.399677,8.611968,4.345344,5.85999
zord-brightness,cuda-opt,8,0.160384,0.129600,0.142272,9.686336,4.080896,6.85076
zord-brightness,cuda-opt,16,0.120800,0.097856,0.112456,9.506624,4.064576,7.28495
zord-brightness,cuda-opt,32,0.144576,0.119936,0.130541,9.511424,4.082816,6.04134
zord-brightness,cuda-basic,2,1.494400,1.465504,1.47653,5.387584,1.877184,3.3153
zord-brightness,cuda-basic,4,0.460320,0.428096,0.437346,4.342688,2.221984,2.8572
zord-brightness,cuda-basic,8,0.158816,0.132064,0.144891,4.090688,1.928384,3.09931
zord-brightness,cuda-basic,16,0.103520,0.080128,0.0929264,4.153792,1.867968,3.0938
