Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
zord-lss,cuda-basic,2,7736.254395,7719.023438,7727.48,7855.371582,0.832128,3909.47
zord-lss,cuda-basic,4,1018.982361,0.194240,965.298,1140.512939,0.620512,1066.23
zord-lss,cuda-basic,8,0.220992,0.185504,0.205858,1.037792,0.586592,0.836394
zord-lss,cuda-basic,16,0.233216,0.181632,0.205179,1.018368,0.567904,0.820139
zord-lss,cuda-basic,32,0.226752,0.188192,0.206763,1.473408,0.832128,1.14632
zord-lss,cuda-basic-4,2,0.234304,0.196288,0.221355,1.650720,0.598496,1.00895
zord-lss,cuda-basic-4,4,0.235872,0.191008,0.215378,1.133664,0.594080,0.896389
zord-lss,cuda-basic-4,8,0.225440,0.190496,0.206674,1.057920,0.596640,0.781133
zord-lss,cuda-basic-4,16,0.228160,0.188032,0.211256,1.048864,0.578752,0.834397
zord-lss,cuda-basic-4,32,0.239552,0.189568,0.20785,1.650720,0.826752,1.10368
zord-lss,cuda-opt,2,0.235136,0.191456,0.214875,1.478304,0.604544,0.995392
zord-lss,cuda-opt,4,0.229568,0.188384,0.201512,1.043648,0.590080,0.733541
zord-lss,cuda-opt,8,0.229824,0.190816,0.20951,1.047776,0.602240,0.818467
zord-lss,cuda-opt,16,0.228224,0.186656,0.212397,1.053856,0.580448,0.845819
zord-lss,cuda-opt,32,0.234688,0.191584,0.209981,1.478304,0.832224,1.11071
zord-lss,cuda-opt-dp-bf,2,0.226976,0.192000,0.212253,1.486080,0.599872,1.03145
zord-lss,cuda-opt-dp-bf,4,0.227168,0.191648,0.207302,1.040160,0.597568,0.77513
zord-lss,cuda-opt-dp-bf,8,0.233792,0.189024,0.213256,1.216352,0.595776,0.859718
zord-lss,cuda-opt-dp-bf,16,0.231264,0.187744,0.194253,1.010848,0.581728,0.623498
zord-lss,cuda-opt-dp-bf,32,0.232128,0.190528,0.213989,1.486080,0.825120,1.20331
zord-lss,cuda-opt-nodp,2,0.230848,0.123360,0.162947,1.594624,0.596704,0.905143
zord-lss,cuda-opt-nodp,4,0.442528,0.130272,0.189581,1.363968,0.610240,0.890974
zord-lss,cuda-opt-nodp,8,0.252224,0.128672,0.189627,1.226656,0.602368,0.944394
zord-lss,cuda-opt-nodp,16,0.246944,0.124416,0.174323,1.194272,0.594720,0.852133
zord-lss,cuda-opt-nodp,32,0.229472,0.123904,0.150746,1.594624,0.801472,0.992096
zord-lss,cuda-basic,2,45.262272,45.040928,45.1166,52.520000,5.031808,28.8087
zord-lss,cuda-basic,4,8.351904,8.296640,8.32633,15.818400,11.574624,13.193
zord-lss,cuda-basic,8,2.083616,2.027584,2.05367,9.571648,5.345248,6.76596
zord-lss,cuda-basic,16,1.374624,1.319008,1.34892,9.108352,4.707808,7.03421
zord-lss,cuda-basic,32,1.630816,1.514016,1.57113,9.561504,5.031808,7.28621
zord-lss,cuda-basic-4,2,9.538976,9.476704,9.51025,12.968640,3.078496,8.20189
zord-lss,cuda-basic-4,4,2.693792,2.605632,2.63983,6.443552,4.564672,5.41026
zord-lss,cuda-basic-4,8,1.457376,1.384128,1.41923,5.685952,3.356832,4.51277
zord-lss,cuda-basic-4,16,1.306272,1.247744,1.27968,5.183456,3.269856,4.58313
zord-lss,cuda-basic-4,32,1.337280,1.259264,1.29037,4.817696,3.078496,3.89494
zord-lss,cuda-opt,2,9.611648,9.535360,9.56907,13.027008,3.092448,8.00656
zord-lss,cuda-opt,4,2.630624,2.532320,2.57072,6.388384,4.522080,5.56338
zord-lss,cuda-opt,8,1.366368,1.308448,1.34443,5.216864,3.302880,4.4618
zord-lss,cuda-opt,16,1.271104,1.213600,1.24681,5.542912,3.246336,4.41462
zord-lss,cuda-opt,32,1.322688,1.245472,1.28124,4.848896,3.092448,4.03259
zord-lss,cuda-opt-dp-bf,2,9.330048,9.013504,9.18568,12.782624,2.975456,7.80102
zord-lss,cuda-opt-dp-bf,4,2.516544,2.281824,2.38713,6.280256,4.263904,5.38932
