Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
zord-sobel,cuda-basic,2,109.893250,109.689468,109.765,137.712830,17.145504,75.9172
zord-sobel,cuda-basic,4,28.704256,28.644512,28.6728,56.554783,42.276031,49.4691
zord-sobel,cuda-basic,8,5.759008,5.714720,5.73743,33.684353,19.399103,27.8914
zord-sobel,cuda-basic,16,3.011040,2.977536,2.99285,30.809471,16.633345,23.8521
zord-sobel,cuda-basic,32,3.481376,3.447744,3.46119,31.256737,17.145504,20.2259
zord-sobel,cuda-basic-4,2,28.949728,28.899904,28.9222,56.763424,15.356160,36.646
zord-sobel,cuda-basic-4,4,8.644704,0.020128,8.19875,36.530399,0.109600,27.9584
zord-sobel,cuda-basic-4,8,2.515424,2.475328,2.49576,30.473568,16.129473,22.5635
zord-sobel,cuda-basic-4,16,1.600896,1.562688,1.58005,29.446753,15.182368,22.6149
zord-sobel,cuda-basic-4,32,1.771968,1.735520,1.75616,29.634687,15.356160,24.0294
zord-sobel,cuda-opt,2,28.959520,28.924831,28.9405,56.933311,15.317696,32.5376
zord-sobel,cuda-opt,4,8.600352,8.564704,8.58459,36.420895,22.217249,27.0954
zord-sobel,cuda-opt,8,2.186368,2.148192,2.16964,30.073025,15.785888,23.6084
zord-sobel,cuda-opt,16,1.365024,1.324288,1.34028,26.911585,14.965632,17.5853
zord-sobel,cuda-opt,32,1.729184,1.691872,1.70643,29.488384,15.317696,18.6776
zord-sobel,cuda-basic,2,0.524512,0.494880,0.508651,1.341824,0.458080,0.907077
zord-sobel,cuda-basic,4,0.182048,0.149216,0.16052,0.969728,0.545984,0.727019
zord-sobel,cuda-basic,8,0.075392,0.050688,0.063128,1.012704,0.455200,0.691874
zord-sobel,cuda-basic,16,0.063424,0.040704,0.0520736,0.857408,0.441376,0.642462
zord-sobel,cuda-basic,32,0.077568,0.045088,0.0599664,1.031264,0.458080,0.751982
zord-sobel,cuda-basic-4,2,0.175072,0.152544,0.163056,0.976768,0.449088,0.717426
zord-sobel,cuda-basic-4,4,0.096128,0.065184,0.078608,0.891648,0.470400,0.695541
zord-sobel,cuda-basic-4,8,0.064640,0.040768,0.0537584,0.857472,0.449632,0.67529
zord-sobel,cuda-basic-4,16,0.068512,0.038496,0.055152,0.882720,0.445280,0.80515
zord-sobel,cuda-basic-4,32,0.067648,0.036544,0.0496304,0.871392,0.449088,0.691402
zord-sobel,cuda-opt,2,0.186592,0.154240,0.168189,0.976672,0.443584,0.715961
zord-sobel,cuda-opt,4,0.096288,0.064448,0.082456,0.908480,0.471424,0.793418
zord-sobel,cuda-opt,8,0.070656,0.040768,0.0534448,0.865664,0.440096,0.682867
zord-sobel,cuda-opt,16,0.059456,0.035648,0.0472368,0.865248,0.441248,0.664374
zord-sobel,cuda-opt,32,0.058496,0.037152,0.0467904,0.869920,0.443584,0.61431
zord-sobel,cuda-basic,2,16.789185,16.750561,16.7756,23.300447,3.805760,14.051
zord-sobel,cuda-basic,4,4.427392,4.392864,4.41022,10.977664,7.634112,9.35887
zord-sobel,cuda-basic,8,0.929728,0.894496,0.914995,7.464256,4.129216,5.95259
zord-sobel,cuda-basic,16,0.512960,0.485376,0.501477,7.324160,3.749056,6.58269
zord-sobel,cuda-basic,32,0.581952,0.550944,0.567835,7.273920,3.805760,5.72885
zord-sobel,cuda-basic-4,2,4.468640,4.438080,4.45079,10.995488,3.515136,7.39791
zord-sobel,cuda-basic-4,4,1.373792,1.342112,1.35895,7.865856,4.565568,6.11771
zord-sobel,cuda-basic-4,8,0.439808,0.406272,0.426938,6.964288,3.665312,5.75142
zord-sobel,cuda-basic-4,16,0.294752,0.265792,0.278582,6.887072,3.505536,5.41587
zord-sobel,cuda-basic-4,32,0.317376,0.289856,0.307222,6.842944,3.515136,5.98699
zord-sobel,cuda-opt,2,4.474944,4.439648,4.46113,11.021696,3.518080,7.49388
zord-sobel,cuda-opt,4,1.371136,1.341408,1.35762,7.893120,4.580352,7.11685
zord-sobel,cuda-opt,8,0.399200,0.354816,0.378493,6.936288,3.607136,6.12735
zord-sobel,cuda-opt,16,0.257440,0.228832,0.241056,6.780992,3.456864,4.97919
zord-sobel,cuda-opt,32,0.314912,0.283424,0.296842,6.781696,3.518080,4.95272
zord-sobel,cuda-basic,2,27.491232,27.417631,27.4603,36.401505,5.231424,21.2758
zord-sobel,cuda-basic,4,7.215808,7.180256,7.1997,16.014656,11.523680,13.9607
zord-sobel,cuda-basic,8,1.482592,1.450944,1.47175,10.277312,5.838784,8.81498
zord-sobel,cuda-basic,16,0.790208,0.763680,0.778974,9.537696,5.122720,7.11532
zord-sobel,cuda-basic,32,0.921280,0.881888,0.899752,9.712192,5.231424,7.91184
zord-sobel,cuda-basic-4,2,7.303008,7.245696,7.26957,16.078432,4.807392,10.7722
zord-sobel,cuda-basic-4,4,2.210752,2.177248,2.19275,11.051392,6.536992,9.02838
zord-sobel,cuda-basic-4,8,0.722496,0.643136,0.66185,9.655680,4.971840,6.91464
zord-sobel,cuda-basic-4,16,0.444448,0.414464,0.430669,9.421216,4.765088,7.40414
zord-sobel,cuda-basic-4,32,0.507200,0.455232,0.477962,9.455488,4.807392,7.87858
zord-sobel,cuda-opt,2,7.289248,7.255360,7.2727,16.042624,4.797408,10.568
zord-sobel,cuda-opt,4,2.197664,2.165280,2.18228,10.977312,6.541856,8.26163
zord-sobel,cuda-opt,8,0.595456,0.560896,0.578592,9.361056,4.913152,7.7426
zord-sobel,cuda-opt,16,0.391968,0.354752,0.374674,9.338464,4.676896,8.09461
zord-sobel,cuda-opt,32,0.482912,0.446368,0.462643,9.376896,4.797408,7.50725
zord-sobel,cuda-basic,2,8.075360,8.028672,8.04635,11.867776,2.254848,6.83274
zord-sobel,cuda-basic,4,2.146848,2.116704,2.1323,5.958752,4.127296,5.15597
zord-sobel,cuda-basic,8,0.468768,0.444608,0.458355,4.151712,2.429568,3.14961
